Nội dung câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Mã môn học,Khối lớp,Độ khó
2 + 2 = ?,3,4,5,6,B,1,1,Dễ
5 x 7 = ?,30,35,40,45,B,1,2,TB
Thủ đô của Việt Nam là gì?,Hà Nội,TP. Hồ Chí Minh,Đà Nẵng,Huế,A,2,3,Dễ
Ai là tác giả truyện Kiều?,Nguyễn Du,Hồ Chí Minh,Nguyễn Trãi,Lý Thái Tổ,A,2,9,TB
Trái Đất quay quanh?,Mặt Trời,Mặt Trăng,Sao Hỏa,Sao Kim,A,6,5,Dễ
10 + 5 = ?,13,14,15,16,C,1,1,Dễ
Việt Nam có bao nhiêu tỉnh thành?,62,63,64,65,B,8,5,TB
3 x 9 = ?,24,25,26,27,D,1,2,TB
Ngày Quốc khánh Việt Nam là ngày nào?,30/4,2/9,19/5,1/1,B,7,4,Dễ
Công thức tính diện tích hình vuông?,Cạnh x Cạnh,Chiều dài x Chiều rộng,2 x (Chiều dài + Chiều rộng),Bán kính x Bán kính x 3.14,A,1,3,TB
